title,name,description,address,link,html,ss,timestamp
"""Promocja Keratyna keratynowe prostowanie włosów Nanoplastia Botoks""","""Love Keratin""","PROMOCJA PROMOCJA PROMOCJA
Gratis Gratis Gratis

* 250 zł !!! ( włosy max do łopatek )

*włosy za łopatki 300 zł

* włosy bardzo długie i gęste wycena indywidualna )

*Każdy zabieg !!!

Plus

Teraz do każdego zabiegu laser FOTONICZNY firmy Lizze oraz polerowanie końcówek Split Enderem GRTIS !!!

*Stosując Laser Fotoniczny wzmacniamy włosy, wzmacniamy siłę zabiegu, przedłużamy czas trwania efektu oraz nadajemy włosom dodatkowego połysku.
* Polerując końcówki usuwamy zniszczone końce bez utraty długości wlosow.

Zapraszam na zabiegi Premium z odbudowy, regeneracji , rekonstrukcji oraz długotrwałego wyprostowania włosów.
Wykonuje najbardziej porządane zabiegi na rynku na produktach najwyżej JAKOŚCI . Wykonuje :
* keratynowe prostowanie włosów 2D
hybryda
* keratyna czekoladowa
* botoks
* nanoplastia
* nanoplastia-botoks
* botoks tonujący ( ochłodzenie koloru wlosow blond podczas zabiegu regeneracji 2w1)
( produkt dobieram indywidualnie do stanu i struktury włosów )
* polerowanie włosów ( usuwanie wlosow tylko uszkodzonych kosmyków po około 6 mm bez skracania z długości.

Posiadam certyfikaty do wykonywania każdego z powyższych zabiegow .
Do każdej Klientki podchodzę indywidualne i doradzę odpowiedni zabieg do danych włosków. To ważne by dopasować tą pielęgnacje, aby efekt był satysfakcjonujący a włosy po zabiegu pełne blasku :)

Pracuje na oryginalnych , sprawdzonych i najlepszych produktach PREMIUM na rynku: Felps, Cocochoco , Diamond Touch Luxury Keratin, Keratyna 2D .

*Proszę pamiętać podczas zapisywania się ze po koloryzacji wlosow musi upłynąć 14 dni by wykonać zabieg !

Zapraszam na Instagram zdjęcia , filmiki:
Lovekeratinaga

Dojazd na terenie Bemowa , Ursusa , Woli i tych okolic tylko 50 zł :)
Lub zapraszam do siebie pod Warszawę.
Dojazd autobusem lini 719 z Bemowa i wysiadamy na przystanku Zaborówek :)

66*******06
Serdecznie zapraszam :)","Warszawa, Bemowo",https://www.olx.pl/d/oferta/promocja-keratyna-keratynowe-prostowanie-wlosow-nanoplastia-botoks-CID4371-IDKEbgw.html,689287883.html,,2024-04-17 18:27:51
"""Promocja Keratyna keratynowe prostowanie włosów Nanoplastia Botoks""","""Love Keratin""","PROMOCJA PROMOCJA PROMOCJA
Gratis Gratis Gratis

* 250 zł !!! ( włosy max do łopatek )

*włosy za łopatki 300 zł

* włosy bardzo długie i gęste wycena indywidualna )

*Każdy zabieg !!!

Plus

Teraz do każdego zabiegu laser FOTONICZNY firmy Lizze oraz polerowanie końcówek Split Enderem GRTIS !!!

*Stosując Laser Fotoniczny wzmacniamy włosy, wzmacniamy siłę zabiegu, przedłużamy czas trwania efektu oraz nadajemy włosom dodatkowego połysku.
* Polerując końcówki usuwamy zniszczone końce bez utraty długości wlosow.

Zapraszam na zabiegi Premium z odbudowy, regeneracji , rekonstrukcji oraz długotrwałego wyprostowania włosów.
Wykonuje najbardziej porządane zabiegi na rynku na produktach najwyżej JAKOŚCI . Wykonuje :
* keratynowe prostowanie włosów 2D
hybryda
* keratyna czekoladowa
* botoks
* nanoplastia
* nanoplastia-botoks
* botoks tonujący ( ochłodzenie koloru wlosow blond podczas zabiegu regeneracji 2w1)
( produkt dobieram indywidualnie do stanu i struktury włosów )
* polerowanie włosów ( usuwanie wlosow tylko uszkodzonych kosmyków po około 6 mm bez skracania z długości.

Posiadam certyfikaty do wykonywania każdego z powyższych zabiegow .
Do każdej Klientki podchodzę indywidualne i doradzę odpowiedni zabieg do danych włosków. To ważne by dopasować tą pielęgnacje, aby efekt był satysfakcjonujący a włosy po zabiegu pełne blasku :)

Pracuje na oryginalnych , sprawdzonych i najlepszych produktach PREMIUM na rynku: Felps, Cocochoco , Diamond Touch Luxury Keratin, Keratyna 2D .

*Proszę pamiętać podczas zapisywania się ze po koloryzacji wlosow musi upłynąć 14 dni by wykonać zabieg !

Zapraszam na Instagram zdjęcia , filmiki:
Lovekeratinaga

Dojazd na terenie Bemowa , Ursusa , Woli i tych okolic tylko 50 zł :)
Lub zapraszam do siebie pod Warszawę.
Dojazd autobusem lini 719 z Bemowa i wysiadamy na przystanku Zaborówek :)

66*******06
Serdecznie zapraszam :)","Warszawa, Bemowo",https://www.olx.pl/d/oferta/promocja-keratyna-keratynowe-prostowanie-wlosow-nanoplastia-botoks-CID4371-IDKEbgw.html,689287883.html,,2024-04-17 18:27:52
"""Botoks Krakow 340. wolumetria czyli modelowanie ust,brody,policzków""","""Viktoriya""","Zapraszamy na zabiegi z wykorzystaniem toksyny botulinowej, potocznie zwanej Botoxem. Botox rozluźnia nasze mięśnie, niwelując tym samym zmarszczki. Strefy: - zmarszczki poziome czoła; zmarszczki pionowe czoła (między brwiami);
zmarszczki wokół oczu

RABAT działa przy zakupie kilku stref

1 strefa - 340zł
2 strefa - 570 zł
3 strefy - 850zł

W swojej pracy używam jednego z najlepszych preparatów Refinex.

inne obszary kwasu hialuronowego od 500 zł:
Modelowanie ust
- wypełnienie bruzdy
-Objętość twarzy - wymodelowanie podbródka, żuchwy i policzków

Biorewitalizacja / Mezoterapia / Igły Mesoaroma od 170 zł

Profesjonalna kosmetolog zaprasza na zabieg modelowania i wypełniania ust - 550 zł,

Wszystkie zabiegi wykonywane są przez kosmetologa z wieloletnim doświadczeniem, wszystkie prace wykonywane są jednorazową strzykawką. Zabieg przeprowadzany jest w sterylnych warunkach na certyfikowanych preparatach i po uprzedniej konsultacji z pacjentem.

Zainteresowanych prosimy o kontakt prywatny lub telefoniczny.

Viktoria +48**********56

Możesz zobaczyć moje prace na Instagramie
instagram.com/wiki_lips_permanent?igshid=YmMyMTA2M2Y=","Kraków, Grzegórzki",https://www.olx.pl/d/oferta/botoks-krakow-340-wolumetria-czyli-modelowanie-ust-brody-policzkow-CID4371-IDOzN9J.html,747347239.html,,2024-04-17 18:27:53
"""Botoks Krakow 340. wolumetria czyli modelowanie ust,brody,policzków""","""Viktoriya""","Zapraszamy na zabiegi z wykorzystaniem toksyny botulinowej, potocznie zwanej Botoxem. Botox rozluźnia nasze mięśnie, niwelując tym samym zmarszczki. Strefy: - zmarszczki poziome czoła; zmarszczki pionowe czoła (między brwiami);
zmarszczki wokół oczu

RABAT działa przy zakupie kilku stref

1 strefa - 340zł
2 strefa - 570 zł
3 strefy - 850zł

W swojej pracy używam jednego z najlepszych preparatów Refinex.

inne obszary kwasu hialuronowego od 500 zł:
Modelowanie ust
- wypełnienie bruzdy
-Objętość twarzy - wymodelowanie podbródka, żuchwy i policzków

Biorewitalizacja / Mezoterapia / Igły Mesoaroma od 170 zł

Profesjonalna kosmetolog zaprasza na zabieg modelowania i wypełniania ust - 550 zł,

Wszystkie zabiegi wykonywane są przez kosmetologa z wieloletnim doświadczeniem, wszystkie prace wykonywane są jednorazową strzykawką. Zabieg przeprowadzany jest w sterylnych warunkach na certyfikowanych preparatach i po uprzedniej konsultacji z pacjentem.

Zainteresowanych prosimy o kontakt prywatny lub telefoniczny.

Viktoria +48**********56

Możesz zobaczyć moje prace na Instagramie
instagram.com/wiki_lips_permanent?igshid=YmMyMTA2M2Y=","Kraków, Grzegórzki",https://www.olx.pl/d/oferta/botoks-krakow-340-wolumetria-czyli-modelowanie-ust-brody-policzkow-CID4371-IDOzN9J.html,747347239.html,,2024-04-17 18:27:54
"""Przedłużanie rzęs. Stylizacja brwi/rzęs. Szkolenia (Przy Arkadii)""","""Olena""","UK/RU/PL/EN
Zapraszamy!

Przedłużanie rzęs
Uzupełnienie rzęs
Kolorowe rzęsy, shine efekt

Regulacja brwi (+geometria)
Farbowanie brwi i rzęs (farbą/henną)
Profesjonalna laminacja brwi i rzęs
Rozcieńczanie brwi
Rozjaśnianie brwi
Botoks brwi i rzęs

Są jeszcze wolne terminy!

Nie używamy do aplikacji gotowych wachlarzy, przez co osiągamy wymarzone efekty. Nasze prace wyróżniają się dużą starannością, precyzją i dokładnością. Przedłużanie rzęs to wygoda, efekt utrzymuje się przez 3-4 tygodni, co pozwala zrezygnować z malowania rzęs. Gwarantujemy zadowolenie i atrakcyjne ceny. Pracujemy na profesjonalnych produktach Noble lashes, Platinum, Secret Lashes, Babiarnia. Wykonuję różne efekty i długości: Kim Camellia, Mokry Efekt/Mascara/ Wetlook, Strzałka/Eyeliner, Butterfly. Zapewniany komfort i relaks. Szybko (1-2 godz.)

Szkolenia indywidualne:
„Przedłużanie rzęs. Basic”
Czas trwania 1 dzień, 10 godzin, cena
1000 zł.
„Przedłużanie rzęs metodą Express”
Czas trwania 1 dzień, 6 godzin, cena 600 zł.

Lokalizacja: ul. Kłopot 4/U1.1 Warszawa

Tel.: 57*****65

———————————————————————
Запрошуємо!

Нарощування вій;
Корекція вій;
Кольорові вії, вії з ефектом shine;

Корекція брів (+ геометрія)
Фарбування брів та вій (фарбою або хною)
Професійна ламінація брів та вій
Проріджування брів та вій
Розсвітлення брів
Ботокс брів та вій

Ще є вільні місця!

Ми використовуємо готові пучки для нарощення, через це завжди досягаємо бажаного ефекту. Наша робота відрізняється великою уважністю, точністю і докладністю. Нарощування вій - це зручність, ефект тримається протягом кількох тижнів, що дозволяє вам відмовитися від фарбування вій. Гарантуємо задоволення і привабливі ціни. Працюємо на професійних продуктах Noble lashes, Platinum, Secret Lashes, Babiarnia. Виконуємо різні ефекти і довжини: Kim Camellia, Мокрий Ефект/Mascara/ Wetlook, Стрілка/Eyeliner, Butterfly. Швидко (1-2 години).

Курси:
""Нарощування вій. Basic""
Тривалість 1 день, 10 годин, вартість 1000 злотих.

""Нарощування вій методом Express""
Тривалість 1 день, 6 годин, вартість 600 злотих.

ul. Kłopot 4/U1.1, Варшава.

Тел.: 57*****65","Warszawa, Wola",https://www.olx.pl/d/oferta/przedluzanie-rzes-stylizacja-brwi-rzes-szkolenia-przy-arkadii-CID4371-IDWynRB.html,850446039.html,,2024-04-17 18:27:56
"""Przedłużanie rzęs. Stylizacja brwi/rzęs. Szkolenia (Przy Arkadii)""","""Olena""","UK/RU/PL/EN
Zapraszamy!

Przedłużanie rzęs
Uzupełnienie rzęs
Kolorowe rzęsy, shine efekt

Regulacja brwi (+geometria)
Farbowanie brwi i rzęs (farbą/henną)
Profesjonalna laminacja brwi i rzęs
Rozcieńczanie brwi
Rozjaśnianie brwi
Botoks brwi i rzęs

Są jeszcze wolne terminy!

Nie używamy do aplikacji gotowych wachlarzy, przez co osiągamy wymarzone efekty. Nasze prace wyróżniają się dużą starannością, precyzją i dokładnością. Przedłużanie rzęs to wygoda, efekt utrzymuje się przez 3-4 tygodni, co pozwala zrezygnować z malowania rzęs. Gwarantujemy zadowolenie i atrakcyjne ceny. Pracujemy na profesjonalnych produktach Noble lashes, Platinum, Secret Lashes, Babiarnia. Wykonuję różne efekty i długości: Kim Camellia, Mokry Efekt/Mascara/ Wetlook, Strzałka/Eyeliner, Butterfly. Zapewniany komfort i relaks. Szybko (1-2 godz.)

Szkolenia indywidualne:
„Przedłużanie rzęs. Basic”
Czas trwania 1 dzień, 10 godzin, cena
1000 zł.
„Przedłużanie rzęs metodą Express”
Czas trwania 1 dzień, 6 godzin, cena 600 zł.

Lokalizacja: ul. Kłopot 4/U1.1 Warszawa

Tel.: 57*****65

———————————————————————
Запрошуємо!

Нарощування вій;
Корекція вій;
Кольорові вії, вії з ефектом shine;

Корекція брів (+ геометрія)
Фарбування брів та вій (фарбою або хною)
Професійна ламінація брів та вій
Проріджування брів та вій
Розсвітлення брів
Ботокс брів та вій

Ще є вільні місця!

Ми використовуємо готові пучки для нарощення, через це завжди досягаємо бажаного ефекту. Наша робота відрізняється великою уважністю, точністю і докладністю. Нарощування вій - це зручність, ефект тримається протягом кількох тижнів, що дозволяє вам відмовитися від фарбування вій. Гарантуємо задоволення і привабливі ціни. Працюємо на професійних продуктах Noble lashes, Platinum, Secret Lashes, Babiarnia. Виконуємо різні ефекти і довжини: Kim Camellia, Мокрий Ефект/Mascara/ Wetlook, Стрілка/Eyeliner, Butterfly. Швидко (1-2 години).

Курси:
""Нарощування вій. Basic""
Тривалість 1 день, 10 годин, вартість 1000 злотих.

""Нарощування вій методом Express""
Тривалість 1 день, 6 годин, вартість 600 злотих.

ul. Kłopot 4/U1.1, Варшава.

Тел.: 57*****65","Warszawa, Wola",https://www.olx.pl/d/oferta/przedluzanie-rzes-stylizacja-brwi-rzes-szkolenia-przy-arkadii-CID4371-IDWynRB.html,850446039.html,,2024-04-17 18:27:57
"""Botoks/wygładzenie/cena od 150pln""","""Hanka""","Zapraszam na zabieg wygładzenia zmarszczek (botox ) mezobotox
Poprzeczne czoła -199pln
Kurze łapki 150 pln
Lwia zmarszczka 150pln
Broda brukowana 50pln
Opadające kąciki 50pln
Lip Flip 50pln
Przy trzech okolicach lip flip gratis
Kwas hialuronowy
Bruzdy nosowo-wargowe
Policzki
Modelowanie ust
Modelowanie brody
Korekta nosa
Cena 1 ml 299pln
Cena za 2 ml 399pln
Cena za 3 ml 459pln

Mezoterapia igłowa 150 produkt dobierany na miejscu.
Mezobotox 150pln
Peeling kawitacyjny 50pln
Peeling plus sonoforeza plus maska 100pln

Lokalizacja Sosnowiec , ul.11 listopada 8
Zapisy i informacje 50*******39 lub wiadomość .","Sosnowiec,",https://www.olx.pl/d/oferta/botoks-wygladzenie-cena-od-150pln-CID4371-IDWwi46.html,849708766.html,,2024-04-17 18:27:58
"""Botoks/wygładzenie/cena od 150pln""","""Hanka""","Zapraszam na zabieg wygładzenia zmarszczek (botox ) mezobotox
Poprzeczne czoła -199pln
Kurze łapki 150 pln
Lwia zmarszczka 150pln
Broda brukowana 50pln
Opadające kąciki 50pln
Lip Flip 50pln
Przy trzech okolicach lip flip gratis
Kwas hialuronowy
Bruzdy nosowo-wargowe
Policzki
Modelowanie ust
Modelowanie brody
Korekta nosa
Cena 1 ml 299pln
Cena za 2 ml 399pln
Cena za 3 ml 459pln

Mezoterapia igłowa 150 produkt dobierany na miejscu.
Mezobotox 150pln
Peeling kawitacyjny 50pln
Peeling plus sonoforeza plus maska 100pln

Lokalizacja Sosnowiec , ul.11 listopada 8
Zapisy i informacje 50*******39 lub wiadomość .","Sosnowiec,",https://www.olx.pl/d/oferta/botoks-wygladzenie-cena-od-150pln-CID4371-IDWwi46.html,849708766.html,,2024-04-17 18:27:59
"""Botoks -Botulina Promocja 170 zł""","""INSTYTUT URODY""","Proszę o kontakt telefoniczny lub sms .
Witam posiadam wykształcenie wyższe medyczne ,zajmuje się toksyną botylinowa potocznie zwaną botoksem .
Serdecznie zapraszam do mojego salonu, który prowadzę od 10 lat z powodzeniem.
Warunki w salonie są sterylne i przyjazne .
Wszystko dokładnie wytłumaczę i doradzę , nie działam na szkodę klientek czyli nie wykonuję żadnych zabiegów ,które mogą prowadzić do zakłóceń przepływu limfy .
Botulina jest jedną z najbezpieczniejszych metod usuwania zmarszczek w okolicach twarzy , jest to zabieg mało inwazyjny .

Botoks doskonale usuwa zmarszczki na czole ,lwią zmarszczkę,kurze łapki , brukowaną brodę ,podnosi usta ,niweluje tzw chomiczki i jest doskonały przy zgrzytaniu zębów zwanych BRUKSIZMEM .

Aktualna promocja botoks:
1 partia: 250zł
2 partie: 400
3 partie: 500","Gdańsk, Aniołki",https://www.olx.pl/d/oferta/botoks-botulina-promocja-170-zl-CID4371-IDZ4WRX.html,902532261.html,,2024-04-17 18:28:01
"""Botoks -Botulina Promocja 170 zł""","""INSTYTUT URODY""","Proszę o kontakt telefoniczny lub sms .
Witam posiadam wykształcenie wyższe medyczne ,zajmuje się toksyną botylinowa potocznie zwaną botoksem .
Serdecznie zapraszam do mojego salonu, który prowadzę od 10 lat z powodzeniem.
Warunki w salonie są sterylne i przyjazne .
Wszystko dokładnie wytłumaczę i doradzę , nie działam na szkodę klientek czyli nie wykonuję żadnych zabiegów ,które mogą prowadzić do zakłóceń przepływu limfy .
Botulina jest jedną z najbezpieczniejszych metod usuwania zmarszczek w okolicach twarzy , jest to zabieg mało inwazyjny .

Botoks doskonale usuwa zmarszczki na czole ,lwią zmarszczkę,kurze łapki , brukowaną brodę ,podnosi usta ,niweluje tzw chomiczki i jest doskonały przy zgrzytaniu zębów zwanych BRUKSIZMEM .

Aktualna promocja botoks:
1 partia: 250zł
2 partie: 400
3 partie: 500","Gdańsk, Aniołki",https://www.olx.pl/d/oferta/botoks-botulina-promocja-170-zl-CID4371-IDZ4WRX.html,902532261.html,,2024-04-17 18:28:02
